Module                  Size  Used by
ccm                    20480  9
rfcomm                 81920  0
cmac                   16384  0
algif_hash             16384  0
algif_skcipher         16384  0
af_alg                 32768  2 algif_hash,algif_skcipher
bnep                   28672  2
binfmt_misc            24576  1
zfs                  4112384  0
zunicode              348160  1 zfs
zzstd                 491520  1 zfs
zlua                  163840  1 zfs
zavl                   16384  1 zfs
icp                   311296  1 zfs
zcommon               106496  2 zfs,icp
znvpair                98304  2 zfs,zcommon
spl                   118784  6 zfs,icp,zzstd,znvpair,zcommon,zavl
snd_hda_codec_hdmi     77824  1
snd_sof_pci_intel_icl    16384  0
snd_sof_intel_hda_common   102400  1 snd_sof_pci_intel_icl
soundwire_intel        45056  1 snd_sof_intel_hda_common
soundwire_generic_allocation    16384  1 soundwire_intel
soundwire_cadence      36864  1 soundwire_intel
snd_sof_intel_hda      20480  1 snd_sof_intel_hda_common
snd_sof_pci            20480  2 snd_sof_pci_intel_icl,snd_sof_intel_hda_common
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_common
snd_sof               147456  2 snd_sof_pci,snd_sof_intel_hda_common
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
joydev                 32768  0
snd_hda_ext_core       32768  3 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
snd_soc_acpi_intel_match    61440  2 snd_sof_pci_intel_icl,snd_sof_intel_hda_common
mei_hdcp               24576  0
snd_hda_codec_realtek   159744  1
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
soundwire_bus          94208  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_hda_codec_generic   102400  1 snd_hda_codec_realtek
ledtrig_audio          16384  2 snd_hda_codec_generic,snd_sof
intel_rapl_msr         20480  0
snd_soc_core          348160  4 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
intel_tcc_cooling      16384  0
x86_pkg_temp_thermal    20480  0
snd_compress           24576  1 snd_soc_core
ac97_bus               16384  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
intel_powerclamp       24576  0
snd_hda_intel          53248  3
coretemp               24576  0
snd_intel_dspcfg       28672  2 snd_hda_intel,snd_sof_intel_hda_common
snd_intel_sdw_acpi     20480  2 snd_sof_intel_hda_common,snd_intel_dspcfg
snd_hda_codec         163840  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda
kvm_intel             372736  0
snd_hda_core          110592  9 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
snd_hwdep              16384  1 snd_hda_codec
kvm                  1032192  1 kvm_intel
snd_pcm               143360  10 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_hda_core,snd_pcm_dmaengine
rapl                   20480  0
hp_wmi                 20480  0
rtw88_8822ce           16384  0
snd_seq_midi           20480  0
rtw88_8822c           503808  1 rtw88_8822ce
sparse_keymap          16384  1 hp_wmi
snd_seq_midi_event     16384  1 snd_seq_midi
nls_iso8859_1          16384  1
intel_cstate           20480  0
platform_profile       16384  1 hp_wmi
rtw88_pci              32768  1 rtw88_8822ce
snd_rawmidi            49152  1 snd_seq_midi
rtw88_core            258048  2 rtw88_pci,rtw88_8822c
input_leds             16384  0
uvcvideo              106496  0
btusb                  61440  0
btrtl                  24576  1 btusb
wmi_bmof               16384  0
snd_seq                77824  2 snd_seq_midi,snd_seq_midi_event
mac80211             1249280  2 rtw88_pci,rtw88_core
videobuf2_vmalloc      20480  1 uvcvideo
btbcm                  24576  1 btusb
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
processor_thermal_device_pci_legacy    16384  0
videobuf2_memops       20480  1 videobuf2_vmalloc
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
btintel                40960  1 btusb
videobuf2_v4l2         32768  1 uvcvideo
snd_timer              40960  2 snd_seq,snd_pcm
processor_thermal_rfim    24576  1 processor_thermal_device
processor_thermal_mbox    16384  2 processor_thermal_rfim,processor_thermal_device
